,Leaf,Petal,Berries,Water,Poison,Crystal,Mushroom,Flame,Power,Lightning,Essence,Scale,Beetle,Spirit,Steel,Tooth
Leaf,Petal,Water,Event Equipment,12 Currency,7 Raid Cards,3 Crafting Shards,12 Raid Cards,9 Raid Cards,55 Currency,46 Currency,89 Currency,12 Rare Equipment,36 Wildcards,2 Fortune Scrolls,306 Currency,612 Currency
Petal,Water,Berries,Poison,crystal,25 Common Equipment,22 Currency,38 Currency,20 Perk Tickets,58 Currency,49 Currency,9 Rare Equipment,39 Raid Cards,37 Wildcards,164 Currency,309 Currency,8 Fortune Scrolls
Berries,Event Equipment,Poison,24 Currency,21 Currency,Mushroom,20 Perk Tickets,45 Currency,38 Currency,22 Raid Cards,30 Perk Tickets,99 Currency,125 Currency,100 Perk Tickets,2 Fortune Scrolls,79 Wildcards,621 Currency
Water,12 Currency,crystal,21 Currency,19 Currency,Event Equipment,Flame,14 Raid Cards,Event Equipment,9 Crafting Shards,3 Hero Weapons,Event Equipment,40 Raid Cards,Event Equipment,2 Fortune Scrolls,Legendary Equipment,618 Currency
Poison,7 Raid Cards,25 Common Equipment,Mushroom,Event Equipment,5 Crafting Shards,1 Skill Points,Power,6 Crafting Shards,71 Currency,9 Crafting Shards,60 Perk Tickets,44 Raid Cards,23 Crafting Shards,177 Currency,46 Crafting Shards,8 Fortune Scrolls
Crystal,3 Crafting Shards,22 Currency,20 Perk Tickets,Flame,1 Skill Points,32 Currency,8 Eggs,Lightning,68 Currency,10 Eggs,102 Currency,22 Eggs,157 Currency,29 Eggs,319 Currency,104 Eggs
Mushroom,12 Raid Cards,38 Currency,45 Currency,14 Raid Cards,Power,8 Eggs,21 Raid Cards,58 Currency,Essence,25 Raid Cards,97 Currency,24 Eggs,173 Currency,48 Wildcards,112 Raid Cards,160 Wildcards
Flame,9 Raid Cards,20 Perk Tickets,38 Currency,Event Equipment,6 Crafting Shards,Lightning,58 Currency,52 Currency,3 Skill Points,3 Skill Points,Scale,23 Eggs,7 Skill Points,184 Currency,13 Skill Points,8 Fortune Scrolls
Power,55 Currency,58 Currency,22 Raid Cards,9 Crafting Shards,71 Currency,68 Currency,Essence,3 Skill Points,104 Currency,31 Raid Cards,Beetle,55 Raid Cards,193 Currency,70 Raid Cards,355 Currency,220 Raid Cards
Lightning,46 Currency,49 Currency,30 Perk Tickets,3 Hero Weapons,9 Crafting Shards,10 Eggs,25 Raid Cards,3 Skill Points,31 Raid Cards,Legendary Equipment,129 Currency,Spirit,Legendary Equipment,50 Wildcards,Legendary Equipment,652 Currency
Essence,89 Currency,9 Rare Equipment,99 Currency,Event Equipment,60 Perk Tickets,102 Currency,97 Currency,Scale,Beetle,129 Currency,172 Currency,7 Skill Points,227 Currency,9 Skill Points,389 Currency,695 Currency
Scale,12 Rare Equipment,39 Raid Cards,125 Currency,40 Raid Cards,44 Raid Cards,22 Eggs,24 Eggs,23 Eggs,55 Raid Cards,Spirit,7 Skill Points,226 Currency,13 Hero Weapons,271 Currency,21 Fortune Weapons,722 Currency
Beetle,36 Wildcards,37 Wildcards,100 Perk Tickets,Event Equipment,23 Crafting Shards,157 Currency,173 Currency,7 Skill Points,193 Currency,Legendary Equipment,227 Currency,13 Hero Weapons,282 Currency,Steel,444 Currency,30 Skill Points
Spirit,2 Fortune Scrolls,164 Currency,2 Fortune Scrolls,2 Fortune Scrolls,177 Currency,29 Eggs,48 Wildcards,184 Currency,70 Raid Cards,50 Wildcards,9 Skill Points,271 Currency,Steel,316 Currency,115 Wildcards,Event Equipment
Steel,306 Currency,309 Currency,79 Wildcards,Legendary Equipment,46 Crafting Shards,319 Currency,112 Raid Cards,13 Skill Points,355 Currency,Legendary Equipment,389 Currency,21 Fortune Weapons,444 Currency,115 Wildcards,Tooth,228 Wildcards
Tooth,612 Currency,8 Fortune Scrolls,621 Currency,618 Currency,8 Fortune Scrolls,104 Eggs,160 Wildcards,8 Fortune Scrolls,220 Raid Cards,652 Currency,695 Currency,722 Currency,30 Skill Points,Event Equipment,228 Wildcards,15 Fortune Scrolls
